Suburb	PostCode	State	BSPname
AUSTRALIAN NATIONAL UNIVERSITY	0200	ACT	CANBERRA
BARTON	0221	ACT	CANBERRA
DARWIN	0800	NT	DARWIN
DARWIN	0801	NT	DARWIN
PARAP	0804	NT	DARWIN
ALAWA	0810	NT	DARWIN
BRINKIN	0810	NT	DARWIN
CASUARINA	0810	NT	DARWIN
COCONUT GROVE	0810	NT	DARWIN
JINGILI	0810	NT	DARWIN
LEE POINT	0810	NT	DARWIN
LYONS	0810	NT	DARWIN
MILLNER	0810	NT	DARWIN
MOIL	0810	NT	DARWIN
MUIRHEAD	0810	NT	DARWIN
NAKARA	0810	NT	DARWIN
NIGHTCLIFF	0810	NT	DARWIN
RAPID CREEK	0810	NT	DARWIN
TIWI	0810	NT	DARWIN
WAGAMAN	0810	NT	DARWIN
WANGURI	0810	NT	DARWIN
CASUARINA	0811	NT	DARWIN
ANULA	0812	NT	DARWIN
BUFFALO CREEK	0812	NT	DARWIN
HOLMES	0812	NT	DARWIN
KARAMA	0812	NT	DARWIN
LEANYER	0812	NT	DARWIN
MALAK	0812	NT	DARWIN
MARRARA	0812	NT	DARWIN
NORTHLAKES	0812	NT	DARWIN
SANDERSON	0812	NT	DARWIN
WOODLEIGH GARDENS	0812	NT	DARWIN
WULAGI	0812	NT	DARWIN
KARAMA	0813	NT	DARWIN
NIGHTCLIFF	0814	NT	DARWIN
CHARLES DARWIN UNIVERSITY	0815	NT	DARWIN
BAGOT	0820	NT	DARWIN
BAYVIEW	0820	NT	DARWIN
CHARLES DARWIN	0820	NT	DARWIN
COONAWARRA	0820	NT	DARWIN
CULLEN BAY	0820	NT	DARWIN
DARWIN DC	0820	NT	DARWIN
DARWIN INTERNATIONAL AIRPORT	0820	NT	DARWIN
DARWIN MC	0820	NT	DARWIN
EAST POINT	0820	NT	DARWIN
EATON	0820	NT	DARWIN
FANNIE BAY	0820	NT	DARWIN
LARRAKEYAH	0820	NT	DARWIN
LUDMILLA	0820	NT	DARWIN
PARAP	0820	NT	DARWIN
RAAF BASE DARWIN	0820	NT	DARWIN
STUART PARK	0820	NT	DARWIN
THE GARDENS	0820	NT	DARWIN
THE NARROWS	0820	NT	DARWIN
WINNELLIE	0820	NT	DARWIN
WOOLNER	0820	NT	DARWIN
WINNELLIE	0821	NT	DARWIN
ACACIA HILLS	0822	NT	DARWIN
ANGURUGU	0822	NT	DARWIN
ANINDILYAKWA	0822	NT	DARWIN
ANNIE RIVER	0822	NT	DARWIN
BATHURST ISLAND	0822	NT	DARWIN
BEES CREEK	0822	NT	DARWIN
BELYUEN	0822	NT	DARWIN
BLACK JUNGLE	0822	NT	DARWIN
BLACKMORE	0822	NT	DARWIN
BORDER STORE	0822	NT	DARWIN
BURRUNDIE	0822	NT	DARWIN
BYNOE	0822	NT	DARWIN
