Suburb	PostCode
Abbey Caves	0110
Abbotsford	9018
Acacia Bay	3330
Addington	8011
Ahuriri	4110
Akaroa	7520
Akina	4122
Albany	0632
Alexandra	9320
Alfriston	2105
Algies Bay	0920
Alicetown	5010
Allenton	7700
Amberley	7410
Anderson Park	9810
Andersons Bay	9013
Annesbrook	7011
Aotea	5024
Appleby	9812
Aramoho	4500
Aranui	8061
Arapuni	3415
Ardgowan	9400
Arkles Bay	0932
Army Bay	0930
Aro Valley	6011
Arrowtown	9302
Ascot	9810
Ascot Park	5024
Ashhurst	4810
Atawhai	7010
Athenree	3611
Auckland Airport	2022
Auckland Central	1010
Avalon	5011
Avalon Industrial	3200
Avenal	9810
Avenues	0110
Aviemore	9435
Avondale	0600
Avonhead	8042
Avonside	8061
Awakino Point	0310
Awamoa	9400
Awapuni	4412
Awatoto	4110
Awatuna	7832
Bader	3206
Balaclava	9011
Balclutha	9230
Balgownie	4501
Barrington	8024
Bay View	4104
Bayswater	0622
Beach Haven	0626
Beachlands	2018
Beachville	7010
Beckenham	8023
Beerescourt	3200
Belfast	8051
Bell Block	4312
Belleknowes	9011
Bellevue	3110
Belmont	0622
Belmont Regional Park	5010
Ben Ohau	7901
Ben Omar	9410
Berhampore	6023
Bethlehem	3110
Bexley	8061
Birchville	5018
Birchwood	9410
Birkdale	0626
Birkenhead	0626
Bishopdale	8053
Blackball	7804
Blagdon	4310
Blaketown	7805
Blenheim Central	7201
Blockhouse Bay	0600
Bluff	9814
Bluff Hill	4110
Botany Downs	2010
Bottle Lake	8083
Boulcott	5010
Bradford	9011
Breaker Bay	6022
Bridge Hill	9320
Bridge Pa	4120
Brighton	8061
Brightwater	7022
Britannia Heights	7010
Broad Bay	9014
Broadmeadows	6035
Brockville	9011
Bromley	8062
Brookfield	3110
Brooklands	8083
Brooklyn	6021
Broomfield	8042
Brown Owl	5018
Browns Bay	0630
Bryndwr	8052
Bucklands Beach	2014
Bulls	4818
Burkes Pass	7999
Burnham	7600
Burnside	8053
Burswood	2013
Burwood	8061
Cable Bay	0420
Calton Hill	9012
Camberley	4120
Camborne	5026
Cambridge	3434
Camerons	7805
Campbells Bay	0630
Camside	7630
Cannons Creek	5024
Cape Foulwind	7825
Careys Bay	9023
Carters Beach	7825
Carterton	5713
Casebrook	8051
Cashmere	8022
Cass Bay	8082
Castlecliff	4501
Castor Bay	0620
Cattle Creek	7999
Caversham	9012
Chain Hills	9024
Chartwell	3210
Chatswood	0626
Chedworth	3210
Cheviot	7310
Christchurch Airport	8053
Christchurch Central	8013
Churton Park	6037
Clareville	5713
Clarks Beach	2122
Claudelands	3214
